Month/Year,Voice Lines,BTS,FB,Upgrades,Accessories ,APP
January 2024,3,1,0,4,4,1
February 2024,9,1,0,11,24,2.181818182
March 2024,9,2,12,19,25,1.315789474
April 2024,6,1,0,21,30,1.428571429
May 2024,18,6,14,33,54,1.636363636
June 2024,18,1,1,23,56,2.434782609
July 2024,12,1,11,29,42,1.448275862
August 2024,12,5,3,23,37,1.608695652
September 2024,28,5,0,33,72,2.181818182
October 2024,24,6,1,51,99,1.941176471
November 2024,38,16,1,80,106,1.325
December 2024,39,9,1,67,75,1.119402985
January 2025,37,6,2,34,48,1.411764706
February 2025,11,14,10,32,77,2.40625
March 2025,14,11,1,30,60,2
